lon,lat
-73.99477,40.736828
-73.982392,40.773382
-73.98856999999998,40.739406
-73.96021299999998,40.770464
-73.995371,40.717248
-73.983811,40.749655
-73.984138,40.726317
-73.979906,40.74585
-73.981147,40.758918
-73.95519299999998,40.765468
-73.88527499999998,40.773048
-73.991782,40.748911
-73.965717,40.758675
-73.97700899999998,40.75162
-73.97765599999998,40.75368
-73.78826599999998,40.647542
-74.007503,40.725992
-74.014866,40.709353
-73.967675,40.763109
-73.78173099999998,40.644729
-73.790555,40.643935
-73.98881,40.751013
-74.01368499999998,40.709329
-73.970117,40.752862
-73.99154199999998,40.738918
-73.960639,40.768772
-73.979729,40.781711
-73.975379,40.761056
-73.946211,40.772991
-73.992154,40.731084
-73.990262,40.729051
-73.989092,40.736672
-73.977261,40.743052
-74.01238499999998,40.706736
-73.979545,40.735458
-73.95214,40.824428
-73.86555199999998,40.77048
-73.934146,40.801944
-73.989497,40.740451
-73.968986,40.765664
-73.940397,40.751305
-74.002429,40.734449
-73.96047199999998,40.770138
-73.980816,40.764349
-74.00346,40.748904
-73.979416,40.766493
-73.98953,40.734316
-73.97041,40.7595
-73.982765,40.743564
-73.86300799999998,40.769185
-73.991134,40.739729
-74.00266499999998,40.751134
-73.97628799999998,40.75459
-74.00270999999998,40.733161
-73.988034,40.718685
-73.991585,40.735312
-73.975836,40.749046
-73.99011199999998,40.719047
-74.012713,40.702469
-73.967805,40.760859
-74.00832099999998,40.729776
-73.969053,40.761099
-74.00249599999998,40.750189
-73.98556,40.731588
-73.988887,40.736913
-73.97842199999998,40.736845
-74.005286,40.742399
-73.990763,40.72059
-73.992395,40.725088
-73.98231699999998,40.77167
-73.976687,40.75506
-73.952195,40.781405
-73.980411,40.753945
-74.007857,40.742873
-73.947182,40.776074
-73.987789,40.760103
-73.967751,40.756128
-73.986922,40.733265
-73.992304,40.729064
-73.98195699999998,40.771245
-74.000168,40.73302
-73.99047,40.734853
-73.954131,40.765564
-73.984981,40.763726
-73.87309399999998,40.773951
0.0,0.0
-73.984875,40.740501
-73.96485199999998,40.755624
-73.96550499999998,40.76128
-73.990229,40.737053
-73.968207,40.755371
0.0,0.0
-73.97802,40.783504
-74.008099,40.746106
-74.00514699999998,40.74796
-73.776742,40.645195
-73.982552,40.742624
-73.95119699999998,40.77655
-73.995762,40.744007
-73.99059099999998,40.702664
-73.974869,40.750326
-73.97141999999998,40.759315
-73.99314599999998,40.734982
-73.97952999999998,40.73542
-73.973788,40.792434
-73.996374,40.721632
-73.978133,40.679977
-73.992292,40.724802
-73.993125,40.724462
-73.94310799999998,40.841924
-73.99722099999998,40.721749
-73.971135,40.758199
-73.999894,40.738671
-73.992874,40.749173
-73.99874,40.734642
-73.967202,40.751895
-73.977616,40.775395
-73.981966,40.774714
-74.01014999999998,40.721456
-73.97715499999998,40.764744
-73.960747,40.772475
-74.00949799999998,40.707843
-74.00795999999998,40.722931
-73.977095,40.755141
-73.98407,40.743941
-73.955549,40.779528
-73.985094,40.744607
-74.005663,40.750898
-73.99580299999998,40.723476
-73.99640499999998,40.725505
-73.89440899999998,40.766011
-73.99381599999998,40.72729
-73.78102,40.645053
-73.982512,40.7726
-73.99831299999998,40.735251
-73.987108,40.750221
-73.982873,40.757112
-73.988826,40.758623
-73.947737,40.790332
-74.00571499999998,40.736762
0.0,0.0
-73.982313,40.745552
-74.008564,40.720798
-74.00259099999998,40.738983
-74.0013,40.716364
-73.99399599999998,40.738734
-74.00678,40.735794
-74.00842199999998,40.719987
-73.99015099999998,40.723406
-73.942103,40.791194
-73.99043799999998,40.746149
-73.95563,40.776912
-73.95274999999998,40.780538
-73.985449,40.720396
-73.987164,40.7618
-73.978498,40.754932
-73.978004,40.778704
-74.0049,40.737483
-73.982186,40.770516
-73.959534,40.771066
-73.990913,40.738927
-74.00646399999998,40.744593
-73.77773899999998,40.646782
-73.979039,40.78535
0.0,0.0
-73.970749,40.756673
-73.983434,40.726164
-73.955084,40.768691
-73.972274,40.749651
-73.967383,40.792804
-73.87225599999998,40.701447
-74.005947,40.751031
-73.991157,40.73485
-73.973614,40.763233
-73.97959199999998,40.785968
-73.994741,40.729602
-74.006635,40.730645
-73.985984,40.758665
-73.955707,40.779629
-74.00398199999998,40.742961
-73.993379,40.755468
-73.991555,40.698552
-74.0099,40.715136
-73.973791,40.757543
-74.006499,40.751409
-73.969128,40.763611
-74.006338,40.733661
-73.993447,40.734258
-73.96812699999998,40.755247
-73.977402,40.753466
-73.972155,40.758707
-73.993854,40.741497
-73.98224999999998,40.736229
-73.984201,40.76527
-73.983402,40.744474
-73.996243,40.76367
-73.99704099999998,40.72062
-74.004354,40.707359
-73.95658,40.771285
-73.98326,40.760941
-73.985556,40.768008
-73.974759,40.754682
-73.950434,40.782943
-73.966322,40.76456
-73.974208,40.761853
-73.966137,40.763772
-73.984471,40.736955
-73.95381299999998,40.778723
